Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
15318;STA VITORIA PALMAR X;66674;STA VITORIA PALMAR X I5;4,303;4,124;3,979;4,303;4,303;4,303;4,303;4,303;4,720;4,303;4,388;4,303
15319;STA VITORIA PALMAR III;66667;STA VITORIA PALMAR III I5;4,401;4,383;4,368;4,401;4,401;4,401;4,401;4,401;4,443;4,401;4,410;4,401
15320;STA VITORIA PALMAR IV;66668;STA VITORIA PALMAR IV I5;7,335;7,257;7,195;7,335;7,335;7,335;7,335;7,335;7,516;7,335;7,372;7,335
15321;STA VITORIA PALMAR V;66669;STA VITORIA PALMAR V I5;7,237;7,016;6,838;7,237;7,237;7,237;7,237;7,237;7,751;7,237;7,341;7,237
15322;STA VITORIA PALMAR VI;66670;STA VITORIA PALMAR VI I5;8,704;8,561;8,445;8,704;8,704;8,704;8,704;8,704;9,038;8,704;8,772;8,704
15323;STA VITORIA PALMAR VII;66671;STA VITORIA PALMAR VII I5;7,139;6,900;6,707;7,139;7,139;7,139;7,139;7,139;7,696;7,139;7,252;7,139
15324;STA VITORIA PALMAR VIII;66672;STA VITORIA PALMAR VIII I5;7,335;7,097;6,904;7,335;7,335;7,335;7,335;7,335;7,890;7,335;7,448;7,335
15375;CPFL PEDRA CHEIROSA;69901;CPFL PEDRA CHEIROSA I5;13,600;13,600;13,600;13,600;13,600;15,341;15,341;15,341;15,341;15,341;15,341;13,600
15376;CPFL PEDRA CHEIROSA II;69921;CPFL PEDRA CHEIROSA II I5;12,500;12,500;12,500;12,500;12,500;13,467;13,467;13,467;13,467;13,467;13,467;12,500
15377;RIO BONITO BIOENERGIA;20835;RIO BONITO BIOENERGIA I5;0,555;0,454;0,450;0,449;0,380;0,380;0,380;0,380;0,380;0,380;0,380;0,380
15415;UTE STA VITORIA ERB MG;19994;UTE STA VITORIA ERB MG I5;30,000;30,646;30,350;30,661;34,750;30,700;30,700;30,700;30,750;30,750;30,700;30,740
15435;EOL VENTO;19934;EOL VENTO;;;;;;0,442;;;;;0,920;
15435;EOL VENTO;20716;EOL VENTO I5;8,900;8,900;8,900;10,746;8,900;8,900;8,900;8,900;11,200;8,900;8,900;8,900
15436;EOL WIND;19935;EOL WIND;;;;;;;;;;;1,150;
15436;EOL WIND;20715;EOL WIND I5;8,000;8,000;8,000;9,538;8,000;8,000;8,000;8,000;9,950;8,000;8,000;8,000
