Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
83548;DENVER SUZANO;47622;DENVER SUZANO CL 514;0,020;0,022;0,023;0,036;;
83726;VENOSAN;47627;VENOSAN CL 514;0,054;0,060;;0,018;;
83894;INDUTAR CL 514;47635;INDUTAR CL 514;0,003;;;;;
84115;WTEC;47643;WTEC CL 514;0,096;0,063;0,074;0,085;0,066;0,073
84245;ADVAL TECH;47644;ADVAL TECH CL 514;0,030;0,028;0,019;0,030;0,021;0,026
83974;GATTIGRAN;47654;GATTIGRAN CL 514;0,051;0,061;0,011;0,056;;
84315;VITAFOR;47661;VITAFOR CL 514;0,065;0,079;;0,019;0,022;0,028
84385;BRMILL;47665;BRMILL CL 514;0,017;;;;;
84455;RECPLAST;47666;RECPLAST CL 514;;;;0,078;0,038;
84636;DREAM DOG;47669;DREAM DOG CL 514;;0,016;;;;
84109;ATUAL TEXTIL;47676;ATUAL TEXTIL CL 514;;;;0,037;0,017;0,058
85220;LUCKSPUMA;47706;LUCKSPUMA CL 514;;;;;0,016;
85228;ELOBRAS1 CL 514;47707;ELOBRAS1 CL 514;;0,008;;;;
84885;PISSARDI;47715;PISSARDI CL 514;0,054;0,048;0,037;0,070;0,093;0,092
85264;C CL ADFERT;47725;C CL ADFERT;0,113;0,119;0,108;0,189;0,181;0,188
85407;DONGWON SUL;47727;DONGWON SUL CL 514;0,070;0,181;0,017;0,089;0,117;0,177
85800;ARPLAST RECICLAVEIS;47733;ARPLAST RECICLAVEIS CL 514;0,018;;0,026;0,012;;0,015
85169;TUBOFORTE;47738;TUBOFORTE CL 514;;;;0,025;;
85292;NOVAPOL;47739;NOVAPOL CL 514;0,036;;;;;
85809;MONTENEGRO MADEIRAS;47758;MONTENEGRO MADEIRAS CL 514;0,048;;;;;
85671;PREDILETTA;47775;PREDILETTA CL 514;0,103;0,177;;;;
85687;SSFILM;47777;SSFILM CL 514;;;;;;0,083
85823;BLUCABOS;47784;BLUCABOS CL 514;;;0,008;0,032;0,044;0,035
86006;C CL DURAPLAST;47788;C CL DURAPLAST;;;;;0,035;0,082
86518;JHOVINI MOVEIS 2 CL 514;47807;JHOVINI MOVEIS 2 CL 514;;;;0,005;;
86540;C CL TRADECORP;47808;C CL TRADECORP;;;0,009;;;
86612;CERAMICA RIGON;47812;CERAMICA RIGON CL 514;0,095;0,035;;0,014;;
86452;COFCO NOVO MUND;47820;COFCO NOVO MUND CL 514;;;;;0,013;
86891;GDPACK;47827;GDPACK CL 514;0,104;0,104;0,101;;;
86907;HERMAGLASS;47828;HERMAGLASS CL 514;;0,025;;;;
86592;PRELUZ;47842;PRELUZ CL 514;;0,041;;;;
86808;FRW;47845;FRW CL 514;0,046;0,020;;;;
87075;MICROSOLO;47850;MICROSOLO CL 514;0,101;;0,021;;;
87077;DYNATRONIX;47851;DYNATRONIX CL 514;;;;;;0,022
87478;PODIUM ALIMENTOS;47867;PODIUM ALIMENTOS CL 514;0,303;0,297;0,225;0,200;0,205;0,300
87570;DOG STAR FOODS;47871;DOG STAR FOODS CL 514;0,040;0,036;0,012;0,033;0,009;0,024
87561;MAUA POLIMEROS;47900;MAUA POLIMEROS CL 514;0,040;0,045;0,031;0,032;0,020;0,021
87776;CONTINENTAL EMBALAGENS;47922;CONTINENTAL EMBALAGENS CL;;0,013;;0,009;;
87675;POLLI FERTILIZANTES;47941;POLLI FERTILIZANTES CL 514;0,077;0,078;0,136;0,199;0,125;0,199
87875;PETNOR;47949;PETNOR CL 514;;;;0,021;;
87676;CAHE;47955;CAHE CL 514;0,042;;;;;
87870;CALCARIO MILENIUM;47958;CALCARIO MILENIUM CL 514;;;;;0,000;0,093
