Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
86468;CAMPINEIRA;INDUSTRIA CAMPINEIRA DE SABAO E GLICERINA LIMITADA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;57,638
86468;CAMPINEIRA;INDUSTRIA CAMPINEIRA DE SABAO E GLICERINA LIMITADA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;50,110
86477;C VALE ASSIS I;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,594;8,670;6,275;0,000;0,000
86477;C VALE ASSIS I;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;6,635;6,854;6,393;0,000;0,000
86477;C VALE ASSIS I;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;12,604;14,658;16,736;0,000;0,000
86478;C VALE BRASILANDIA;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;35,814;9,621;4,959;0,000;0,000
86478;C VALE BRASILANDIA;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;12,449;3,629;2,394;0,000;0,000
86478;C VALE BRASILANDIA;C.VALE - COOPERATIVA AGROINDUSTRIAL;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;8,980;3,730;2,437;0,000;0,000
86479;MARLUVAS;MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;106,830;104,189;98,940;92,570
86479;MARLUVAS;MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;91,877;94,647;82,508;82,437
86479;MARLUVAS;MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;100,436;107,198;91,375;91,730
86480;CERAMICAS LARA;LARA INDUSTRIA E COMERCIO DE MATERIAIS LTDA - EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;49,172
86480;CERAMICAS LARA;LARA INDUSTRIA E COMERCIO DE MATERIAIS LTDA - EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;25,431
86480;CERAMICAS LARA;LARA INDUSTRIA E COMERCIO DE MATERIAIS LTDA - EIRELI;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;32,586
86482;VANCOUROS CL;VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;243,728;277,200;315,983
86482;VANCOUROS CL;VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;177,885;207,085;225,169
86482;VANCOUROS CL;VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA.;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;274,287;198,109;216,309
86483;XCMG CL 514;XCMG BRASIL INDUSTRIA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;61,967;71,334;91,855;85,781;90,687
86483;XCMG CL 514;XCMG BRASIL INDUSTRIA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;91,395;95,384;105,391;91,431;83,809
86483;XCMG CL 514;XCMG BRASIL INDUSTRIA LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;255,967;229,995;256,764;198,102;141,103
86488;VENIT HOTEL;FAA PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;56,155;62,085
86488;VENIT HOTEL;FAA PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;31,265;36,334
86488;VENIT HOTEL;FAA PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;25,896;30,838
86490;ACOSTUMADO ALIMENTOS LTDA;ACOSTUMADO ALIMENTOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;72,392
86490;ACOSTUMADO ALIMENTOS LTDA;ACOSTUMADO ALIMENTOS LTDA;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;39,119
